codigo_dm,url_imagen,skus_count,metodo,timestamp
02/068/010,https://s3.amazonaws.com/distribuidoradm/02-068-010.jpg,3,oem_directo,2026-05-14T10:23:43.471624
04/052/161,https://s3.amazonaws.com/distribuidoradm/04-052-161.jpg,2,oem_directo,2026-05-14T10:23:48.592370
04/052/160,https://s3.amazonaws.com/distribuidoradm/04-052-160.jpg,3,oem_directo,2026-05-14T10:23:53.121433
04/019/019,https://s3.amazonaws.com/distribuidoradm/04-019-019.jpg,10,oem_directo,2026-05-14T10:23:59.472125
04/019/018,https://s3.amazonaws.com/distribuidoradm/04-019-018.jpg,10,oem_directo,2026-05-14T10:24:05.573746
04/052/148,https://s3.amazonaws.com/distribuidoradm/04-052-148.jpg,3,oem_directo,2026-05-14T10:24:10.102441
04/053/004,https://s3.amazonaws.com/distribuidoradm/04-053-004.jpg,1,cromosol_equivalencia,2026-05-14T10:24:14.452510
04/059/028,https://s3.amazonaws.com/distribuidoradm/04-059-028.jpg,3,oem_directo,2026-05-14T10:24:18.654396
04/027/108,https://s3.amazonaws.com/distribuidoradm/04-027-108.jpg,6,oem_directo,2026-05-14T10:24:23.682297
04/027/109,https://s3.amazonaws.com/distribuidoradm/04-027-109.jpg,10,oem_directo,2026-05-14T10:24:29.682963
04/059/028,https://s3.amazonaws.com/distribuidoradm/04-059-028.jpg,3,oem_directo,2026-05-14T10:24:33.820580
04/027/109,https://s3.amazonaws.com/distribuidoradm/04-027-109.jpg,10,oem_directo,2026-05-14T10:24:39.802329
04/027/150,https://s3.amazonaws.com/distribuidoradm/04-027-150.jpg,4,oem_directo,2026-05-14T10:24:44.294691
04/027/108,https://s3.amazonaws.com/distribuidoradm/04-027-108.jpg,6,oem_directo,2026-05-14T10:24:52.579457
04/060/026,https://s3.amazonaws.com/distribuidoradm/04-060-026.jpg,4,oem_directo,2026-05-14T10:25:00.633100
04/060/027,https://s3.amazonaws.com/distribuidoradm/04-060-027.jpg,1,cromosol_equivalencia,2026-05-14T10:25:15.532027
04/060/026,https://s3.amazonaws.com/distribuidoradm/04-060-026.jpg,4,oem_directo,2026-05-14T10:25:27.673577
04/060/027,https://s3.amazonaws.com/distribuidoradm/04-060-027.jpg,4,oem_directo,2026-05-14T10:25:32.569190
04/060/026,https://s3.amazonaws.com/distribuidoradm/04-060-026.jpg,4,oem_directo,2026-05-14T10:25:37.111799
04/059/028,https://s3.amazonaws.com/distribuidoradm/04-059-028.jpg,3,oem_directo,2026-05-14T10:25:41.376823
04/053/004,https://s3.amazonaws.com/distribuidoradm/04-053-004.jpg,1,cromosol_equivalencia,2026-05-14T10:25:45.792994
04/052/161,https://s3.amazonaws.com/distribuidoradm/04-052-161.jpg,2,oem_directo,2026-05-14T10:25:49.774729
04/052/160,https://s3.amazonaws.com/distribuidoradm/04-052-160.jpg,3,oem_directo,2026-05-14T10:25:53.926741
04/052/148,https://s3.amazonaws.com/distribuidoradm/04-052-148.jpg,3,oem_directo,2026-05-14T10:25:58.063300
04/027/109,https://s3.amazonaws.com/distribuidoradm/04-027-109.jpg,10,oem_directo,2026-05-14T10:26:04.191742
04/060/027,https://s3.amazonaws.com/distribuidoradm/04-060-027.jpg,4,oem_directo,2026-05-14T10:26:09.583498
04/008/030,https://s3.amazonaws.com/distribuidoradm/04-008-030.jpg,5,oem_directo,2026-05-14T10:26:14.511072
04/027/112,https://s3.amazonaws.com/distribuidoradm/04-027-112.jpg,4,oem_directo,2026-05-14T10:26:19.005488
04/028/053,https://s3.amazonaws.com/distribuidoradm/04-028-053.jpg,4,oem_directo,2026-05-14T10:26:23.485894
04/027/147,https://s3.amazonaws.com/distribuidoradm/04-027-147.jpg,6,oem_directo,2026-05-14T10:26:28.531256
