codigo_dm,url_imagen,skus_vinculados,sku_ids,metodo_vinculacion,calidad_match,descripcion_dm,codigo_oem,codigo_cromosol
04/028/070,https://s3.amazonaws.com/distribuidoradm/04-028-070.jpg,4,c3c65ddb-15b6-4b0b-9925-5e03d0b321db|e99439bf-3641-44c8-a681-a8746e3e0ab0|267d58c5-dbe8-4f75-aa5c-5dcff3e1ec2d|345bdf49-3c2a-4ddb-a72f-a76a77aae96f,oem_directo,alta,GRILLAS PARAG-PARANTE-CAPOT 308 TAPA DE GANCHO DE REMOLQUE DELANTERA,9675129380,42007/9
04/008/030,https://s3.amazonaws.com/distribuidoradm/04-008-030.jpg,5,7c3f725f-ca0e-4fb9-8de2-ab6e480e904d|cb961de9-e555-496f-ad74-34dd5c914dd0|384d0080-11a7-4b2a-802e-f996952d1fc2|2990e7a7-a08f-49d1-b19d-dcde1076a11e|4a778339-88a9-4101-8b95-c3924101c442,oem_directo,alta,CANALIZADORES DE AIRE 308/408/ 11/15 / CITROEN C4 LOUNGE 13/,9807656080,42007/70
04/052/163,https://s3.amazonaws.com/distribuidoradm/04-052-163.jpg,2,14592104-2a48-4ff4-9038-165c8c091099|58e1c195-2428-4c9b-ba0b-4c4e74d7e1aa,oem_directo,alta,PARTES DE CARROCERIA 308/408 10/15 GUARDABARRO DELANTERO IZQUIERDO,7840CJ,42007/60I
04/052/162,https://s3.amazonaws.com/distribuidoradm/04-052-162.jpg,1,bb0d0312-db9e-43b5-853d-6a49cecccc49,oem_directo,alta,PARTES DE CARROCERIA 308/408 10/15 GUARDABARRO DELANTERO DERECHO,7841AV,42007/60D
04/052/163,https://s3.amazonaws.com/distribuidoradm/04-052-163.jpg,2,58e1c195-2428-4c9b-ba0b-4c4e74d7e1aa|14592104-2a48-4ff4-9038-165c8c091099,oem_directo,alta,PARTES DE CARROCERIA 308/408 10/15 GUARDABARRO DELANTERO IZQUIERDO,7840CJ,42007/6
04/052/162,https://s3.amazonaws.com/distribuidoradm/04-052-162.jpg,1,bb0d0312-db9e-43b5-853d-6a49cecccc49,oem_directo,alta,PARTES DE CARROCERIA 308/408 10/15 GUARDABARRO DELANTERO DERECHO,7841AV,42007/6
04/028/053,https://s3.amazonaws.com/distribuidoradm/04-028-053.jpg,4,8bf80252-47b7-4c38-8cd6-ea0653694b16|a91b7239-c846-4f7d-8c1c-42900abda1b9|0186f3b7-dbd2-40e5-a477-4a5a5305ae9e|55cdcf68-b8f0-46c3-bc98-1b3ffc74117d,oem_directo,alta,GRILLAS PARAG-PARANTE-CAPOT 308 12/15 REJILLA CENTRAL INTERIOR C/BANDA,9675101380,42007/4
04/028/091,https://s3.amazonaws.com/distribuidoradm/04-028-091.jpg,4,3776881f-e483-4bb7-9cc0-d11598f7186d|02eb922a-662b-4494-a56c-e73a174e4413|141ba1b0-ccc6-412e-804e-2f8930531716|e9b57705-4592-44d9-9315-1892af3a73e2,oem_directo,alta,GRILLAS PARAG-PARANTE-CAPOT 308 12/15 INFERIOR LATERAL IZQUIERDA,9676157180,42007/1D
04/028/090,https://s3.amazonaws.com/distribuidoradm/04-028-090.jpg,4,f2742828-e127-4603-ae24-62212dcfa595|e2e784bb-5673-47d2-af91-d0ca58c3cf16|86275a6b-d48d-4ecd-a18f-2775e85ba7f1|244a7fff-ea83-4ff0-90d5-cbd897ac8a13,oem_directo,alta,GRILLAS PARAG-PARANTE-CAPOT 308 12/15 INFERIOR LATERAL DERECHA,9676157080,42007/1D
04/059/041,https://s3.amazonaws.com/distribuidoradm/04-059-041.jpg,1,fe669daa-16c1-4a58-853d-f95567faa10b,cromosol_equivalencia,alta,ALMAS DE PARAGOLPE 308 11/15 DELANTERA,,42007/10
04/059/041,https://s3.amazonaws.com/distribuidoradm/04-059-041.jpg,1,18908774-f93f-4be6-ac3f-b945555c55a1,cromosol_equivalencia,alta,ALMAS DE PARAGOLPE 308 11/15 DELANTERA,,42007
04/052/163,https://s3.amazonaws.com/distribuidoradm/04-052-163.jpg,2,14592104-2a48-4ff4-9038-165c8c091099|58e1c195-2428-4c9b-ba0b-4c4e74d7e1aa,oem_directo,alta,PARTES DE CARROCERIA 308/408 10/15 GUARDABARRO DELANTERO IZQUIERDO,7840CJ,42007
